col_0,col_1,col_2,col_3,col_4,col_5,col_6
4621,购买折扣券商，没折扣券了,0,购买失败,购买折扣券商，没折扣券了,,
4622,购买折扣券商，没商品了,0,购买失败,购买折扣券商，没商品了,,
4623,不在购买时间,0,购买失败,不在购买时间,,
4700,当前处于结算日,0,今天是结算日,结算日无比赛。,请于开赛后报名,
4701,结算中，请稍后再试,0,操作失败,结算中，请稍后再试,,
4702,离大结算不到半小时，不能操作,0,操作失败,当前时间不可操作,,
4703,联盟已报名此城市,0,操作失败,联盟已经报名此城市,联盟成员方可参赛,
4704,联盟报名城市已经满了,0,报名失败,联盟报名城市已达上限,联盟最多只能报名三个城市进行比赛,
4705,城市争夺赛剩余奖励不足,0,发放失败,没有奖励了,请于下一届比赛中再接再厉,
4706,成员不是本联盟成员,0,发放失败,该玩家不是本联盟成员,请确认玩家公司号后重新输入,
4707,邀请失败，本联盟没有报名,0,操作失败,本联盟没有报名参赛,请确认玩家公司号后重新输入,
4708,邀请失败或同意邀请失败，组满了,0,操作失败,组已经满了，无法进行此操作,请您核对后再试,
4709,对方的联盟已经在组里,0,邀请失败,您邀请的联盟已经在您的组里了,请您核对公司号是否正确,
4710,对方的联盟已经在别的组里,0,邀请失败,您邀请的联盟已经援助了别的联盟,,
4711,自己的联盟已经在其他组里,0,操作失败,自己的联盟已经在其他组里,需要退出援助才可接受其他联盟邀请,
4712,自己的联盟已经在这个组里,0,加入失败,您的联盟已经援助此联盟了,请不要重复操作,
4713,自己的联盟不是主联盟,0,操作失败,援助别的联盟时不可进行本操作,请您退出援助后再试,
4714,更改联盟协助状态频繁，一分钟后再试,0,操作失败,接受和退出有1分钟CD哦,请等待一分钟后再试,
4715,被邀请人不在线,0,邀请失败,您邀请的人还没有上线呢,赶快Call他上线,
4730,商品卖完了,0,操作失败,该商品剩余数量不足,,
4731,购买次数不足,0,购买失败,兑换次数不足,您已经没有兑换次数了,
4732,不在活动时间,0,操作失败,不在活动时间,,
4733,数据结算中，请稍后再试,0,操作失败,该时间无法操作,请稍后再试,
4734,排名不满足,0,操作失败,购买该商品需要的排名不满足,请选购其他商品,
4800,联盟商店此商品已卖光,0,购买失败,这件商品已经卖光了,请下周再来抢购,
4801,没有购买权限,0,操作失败,您没有此商品购买权限,,
4802,此人不是成员,0,操作失败,该玩家已经不在联盟中,,
4900,捐献已达上限,0,捐献失败,已达今日上限,请明天再来,
5000,小额充值每日仅可使用2次,0,购买失败,小额充值每日仅可使用2次,小额充值每日仅可使用2次,
5050,今日头条自己的组已经满了,0,你的队伍已经满员,无法邀请更多的人完成任务,每个队伍最多3个人,
5051,今日头条邀请的人已经有队伍了,0,邀请失败,你的朋友已经进入其他队伍,无法邀请他,
5052,今日头条邀请的人不在线,0,邀请失败,你的朋友不在线,赶快Call他上线做任务,
5053,今日头条自己有组时接受邀请,0,组队失败,你已经进入了一只队伍,不能在进入其他队伍,
5054,今日头条接受邀请时对方组满了,0,组队失败,你加入的队伍已满员,请选择其他好友进行组队,
5055,今日头条已经领过奖励继续领奖,1,领奖失败,每日三种奖励只能选择其中一种,不能反悔请慎重选择,
5056,今日头条自己没完成任务去领奖,1,领奖失败,你还没有完成任务无法领奖,不劳而获是可耻的,
5057,今日头条队伍满12分了,0,邀请失败,该好友队伍已达到12分了,请选择其他好友进行组队,
5200,喇叭数量不足,0,发送消息失败,您的小喇叭数量不足,世界频道聊天需要小喇叭，请购买小喇叭后在发送聊天信息,
5210,战队名称不符合要求,0,创建失败,战队名称不符合要求,,
5211,战队重名,0,创建失败,战队重名,,
5212,对方已经加入战队,0,邀请失败,对方已经加入战队,,
5213,你已经有战队,0,邀请失败,你已经有战队,,
5214,积分不够,0,购买失败,积分不够,,
5215,战队等级不够,0,购买失败,战队等级不够,,
5216,找不到商品ID,0,购买失败,找不到商品ID,,
5217,未知战队,0,邀请失败,没有找到这个战队,,
5218,你自己没有战队,0,邀请失败,你自己没有战队,,
5219,踢的人不在你战队,0,踢人失败,踢的人不在你战队,,
5220,自己不是队长,0,踢人失败,自己不是队长,,
5221,结算中，请稍后再试,0,结算失败,结算中，请稍后再试,,
5222,请在休息日进行操作,0,购买失败,请在休息日进行操作,,
5223,队长不能离开队伍,0,离开失败,队长不能离开队伍,,
5224,战队人数已满,0,邀请失败,战队人数已满,,
5225,自己等级不足,0,创建失败,自己等级不足100级,,
5226,对方等级不足,0,邀请失败,对方等级不足100级,,
5227,购买达到上限,0,购买失败,购买达到上限,,
